,external_urls,href,type,uri,id
0,https://open.spotify.com/playlist/37i9dQZF1DXbU2HfvNSMTH,https://api.spotify.com/v1/playlists/37i9dQZF1DXbU2HfvNSMTH,playlist,spotify:playlist:37i9dQZF1DXbU2HfvNSMTH,3L9ClO1W5KmebIXTrlKShF
1,https://open.spotify.com/playlist/37i9dQZF1DXbU2HfvNSMTH,https://api.spotify.com/v1/playlists/37i9dQZF1DXbU2HfvNSMTH,playlist,spotify:playlist:37i9dQZF1DXbU2HfvNSMTH,4XX1pFUkQOZTYp6Hb6a6Ae
2,https://open.spotify.com/playlist/37i9dQZF1DXbU2HfvNSMTH,https://api.spotify.com/v1/playlists/37i9dQZF1DXbU2HfvNSMTH,playlist,spotify:playlist:37i9dQZF1DXbU2HfvNSMTH,7HKxTNVlkHsfMLhigmhC0I
3,,,,,3a9NBU2NvhjJLAUzFSBzmX
4,,,,,5G2f63n7IPVPPjfNIGih7Q
5,,,,,3Iba59sFmGhQ4kbCY5L8AX
6,,,,,4vuJuTLFomqItDrn482nzV
7,,,,,4Gw1SXoN1MlAmdM3J1NjmR
0,https://open.spotify.com/playlist/37i9dQZF1E35d0LEVqAWiy,https://api.spotify.com/v1/playlists/37i9dQZF1E35d0LEVqAWiy,playlist,spotify:playlist:37i9dQZF1E35d0LEVqAWiy,0qt5f5EL92o8Snzopsv0en
1,https://open.spotify.com/playlist/37i9dQZF1E35d0LEVqAWiy,https://api.spotify.com/v1/playlists/37i9dQZF1E35d0LEVqAWiy,playlist,spotify:playlist:37i9dQZF1E35d0LEVqAWiy,1Dp7ASSZVVOPJ85VdLpjOX
2,https://open.spotify.com/playlist/37i9dQZF1E35d0LEVqAWiy,https://api.spotify.com/v1/playlists/37i9dQZF1E35d0LEVqAWiy,playlist,spotify:playlist:37i9dQZF1E35d0LEVqAWiy,5dvBeCMTzUNjyWIcuykzyh
3,https://open.spotify.com/playlist/37i9dQZF1E35d0LEVqAWiy,https://api.spotify.com/v1/playlists/37i9dQZF1E35d0LEVqAWiy,playlist,spotify:playlist:37i9dQZF1E35d0LEVqAWiy,5xoUgPXbMNUmoHU0Enwtwq
4,https://open.spotify.com/playlist/37i9dQZF1E35d0LEVqAWiy,https://api.spotify.com/v1/playlists/37i9dQZF1E35d0LEVqAWiy,playlist,spotify:playlist:37i9dQZF1E35d0LEVqAWiy,3tzU46wNOVaFiYRNtNYY66
5,https://open.spotify.com/playlist/37i9dQZF1E35d0LEVqAWiy,https://api.spotify.com/v1/playlists/37i9dQZF1E35d0LEVqAWiy,playlist,spotify:playlist:37i9dQZF1E35d0LEVqAWiy,0wG4gampO24nC7VKm5pxjg
