,id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,spotify_id
0,b265cbf1-9879-4e46-9d78-c006bd9ffaab,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,0.00076,0.451,0.931,0.0049,9.0,0.361,-3.871,1.0,0.0719,122.961,0.172,1jJci4qxiYcOHhQR247rEU
0,745912c4-cdb6-4a66-b48a-1d8e5672d044,https://open.spotify.com/track/1bx7OUl2UmAnA5oZkm9If7,0.0171,0.58,0.981,1.07e-05,8.0,0.386,-2.603,0.0,0.06,134.007,0.861,1bx7OUl2UmAnA5oZkm9If7
0,3fd6bac3-6423-4a92-9970-0ebd6693f577,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz,0.0804,0.743,0.836,0.0,2.0,0.384,-6.465,1.0,0.116,113.375,0.82,39shmbIHICJ2Wxnk1fPSdz
1,783e1a33-8426-4946-91b7-7df50838c431,https://open.spotify.com/track/5u5MpBnvJejW9dHPrfWEXZ,0.046,0.801,0.645,0.0,1.0,0.0357,-6.93,1.0,0.0356,110.011,0.824,5u5MpBnvJejW9dHPrfWEXZ
2,f791fdbe-c518-4490-8f5b-d0af20e4d040,https://open.spotify.com/track/7H5WVBQdSnJ1zmu8JoD6pg,0.00327,0.544,0.925,0.000399,9.0,0.284,-3.828,0.0,0.0406,101.984,0.789,7H5WVBQdSnJ1zmu8JoD6pg
3,cc39cba0-5ee2-4d46-b0a4-802fac56b86d,https://open.spotify.com/track/05ajrG3EAcIe3j7NuqRV9B,0.000322,0.463,0.967,0.357,4.0,0.308,-5.781,0.0,0.0901,145.915,0.741,05ajrG3EAcIe3j7NuqRV9B
4,a11846b1-e2d7-4294-92b2-ca1bc9c5a809,https://open.spotify.com/track/2WQ09wqQBIOor7Q0VpIDBK,0.0172,0.715,0.907,8.39e-05,7.0,0.426,-6.025,0.0,0.0993,124.991,0.841,2WQ09wqQBIOor7Q0VpIDBK
5,443d905e-3a71-4532-b29d-5f14981d98dc,https://open.spotify.com/track/2z4U9d5OAA4YLNXoCgioxo,0.00472,0.578,0.926,0.0127,6.0,0.14,-3.689,0.0,0.0548,149.976,0.877,2z4U9d5OAA4YLNXoCgioxo
6,0e851529-7197-4be4-b681-eab7fa086a17,https://open.spotify.com/track/0SLtqCrXBRrnkxSOMA3X4W,0.000169,0.478,0.965,0.00251,10.0,0.0854,-5.022,1.0,0.0642,125.152,0.347,0SLtqCrXBRrnkxSOMA3X4W
7,252d1340-d7c5-474f-949b-c42dcccc9c38,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0,0.0506,0.463,0.857,0.0,4.0,0.184,-3.063,1.0,0.0632,111.647,0.856,7j31rVgGX9Q2blT92VBEA0
8,2da1e985-7757-470b-8474-df686adc33f8,https://open.spotify.com/track/6kcHg7XL6SKyPNd78daRBL,0.0392,0.67,0.843,0.0,1.0,0.225,-4.311,1.0,0.0454,117.01,0.713,6kcHg7XL6SKyPNd78daRBL
9,1a15f8e8-deef-497e-9ab8-7881f97e4239,https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v,9.04e-05,0.497,0.97,0.000674,10.0,0.101,-4.851,0.0,0.0836,138.081,0.689,6PwjJ58I4t7Mae9xfZ9l9v
10,84c3b1ae-0e4b-4e03-9e76-de53c9187f0f,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh,0.00647,0.695,0.818,4.87e-06,5.0,0.0219,-5.379,0.0,0.0334,119.965,0.916,0w5Bdu51Ka25Pf3hojsKHh
11,70314b98-c416-4a6c-85b8-f50007ba34a2,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,0.00847,0.56,0.936,0.0,3.0,0.161,-5.835,1.0,0.0439,112.96,0.371,0GO8y8jQk1PkHzS31d699N
12,804b584e-7f67-47c3-b2a6-6b72fef29613,https://open.spotify.com/track/3DQVgcqaP3iSMbaKsd57l5,0.00225,0.535,0.948,0.0,6.0,0.376,-4.19,0.0,0.0356,103.183,0.778,3DQVgcqaP3iSMbaKsd57l5
13,88e7e930-f682-4d2a-9c40-ddd423a996fe,https://open.spotify.com/track/27L8sESb3KR79asDUBu8nW,0.00207,0.774,0.75,1.78e-05,11.0,0.0808,-4.927,0.0,0.0412,118.015,0.927,27L8sESb3KR79asDUBu8nW
14,97b5bd5f-1615-44b0-b475-5075e9dc3c0f,https://open.spotify.com/track/75D3n6wnFQmu1HVmLAlWM4,0.0243,0.395,0.979,0.0,8.0,0.12,-3.241,1.0,0.0766,158.842,0.41,75D3n6wnFQmu1HVmLAlWM4
15,f4b4e35e-efb6-4f84-a4ee-fd4c7db45b94,https://open.spotify.com/track/5qGwqO0lkbBXw4xNfzT7SF,0.0106,0.555,0.993,0.0318,1.0,0.403,-5.067,1.0,0.0462,124.018,0.683,5qGwqO0lkbBXw4xNfzT7SF
16,8e9a35f8-6c66-48d1-993e-8198ad7c4919,https://open.spotify.com/track/1q9l6c8bAzqWcvO3DM6FsR,0.0195,0.707,0.923,0.0,7.0,0.342,-3.409,1.0,0.0276,108.023,0.845,1q9l6c8bAzqWcvO3DM6FsR
17,edb6fe45-fab9-4ac7-9b40-06ee3a40cc28,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,0.214,0.554,0.808,0.0,1.0,0.159,-4.169,1.0,0.0368,108.548,0.372,7ne4VBA60CxGM75vw0EYad
18,d2ae4711-4808-435c-825c-cb071ec46e62,https://open.spotify.com/track/0l4DTppOxy7NUaEcwXuOb6,0.00034,0.482,0.829,0.0,5.0,0.378,-5.576,1.0,0.0437,147.99,0.739,0l4DTppOxy7NUaEcwXuOb6
19,9a89eee8-0f06-45ca-926f-68d5d9a9a998,https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7,0.00243,0.699,0.83,0.00024,1.0,0.0995,-4.898,1.0,0.0633,105.809,0.889,6kopmMZiyLmw7h66uXcXR7
20,df06ca9e-33b5-4f97-ac02-44ac27529e60,https://open.spotify.com/track/7FOgcfdz9Nx5V9lCNXdBYv,0.0176,0.657,0.82,0.0,9.0,0.0847,-4.448,1.0,0.0441,124.041,0.709,7FOgcfdz9Nx5V9lCNXdBYv
21,86d1fa8a-a4b1-4413-9e57-3a296c9b5833,https://open.spotify.com/track/3aAuIvgJGdp4wWd60riWfB,0.567,0.717,0.527,0.00668,9.0,0.0785,-10.779,1.0,0.0292,116.288,0.731,3aAuIvgJGdp4wWd60riWfB
22,8488b138-7654-404f-9162-ad8ff77047d1,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,0.0572,0.585,0.776,7.74e-06,5.0,0.3,-5.898,1.0,0.0459,77.987,0.427,5xEM5hIgJ1jjgcEBfpkt2F
23,49588717-0a38-484b-99b8-8307b0064215,https://open.spotify.com/track/3kROc4cT1QMKyQdPd0Gbvm,0.0175,0.446,0.811,0.0106,1.0,0.158,-3.075,1.0,0.0417,175.716,0.678,3kROc4cT1QMKyQdPd0Gbvm
24,5f874789-83c8-49c7-90b5-45d0d76bbb00,https://open.spotify.com/track/6aU6a9tdn2vHhnPGlboFZX,0.0495,0.414,0.528,0.00026,1.0,0.117,-7.733,1.0,0.0343,74.627,0.335,6aU6a9tdn2vHhnPGlboFZX
25,8d49b711-0a3d-42ae-912a-4435efe5d1ba,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq,0.00301,0.471,0.924,0.0,8.0,0.313,-3.906,1.0,0.0584,154.962,0.716,2iUmqdfGZcHIhS3b9E9EWq
26,5fc9f6e9-c67f-4c66-8da2-0a875d2855bb,https://open.spotify.com/track/4iZxeyibg6w4EFCOoAQ6Eh,0.000728,0.556,0.763,6.79e-06,6.0,0.071,-3.952,0.0,0.0413,138.984,0.814,4iZxeyibg6w4EFCOoAQ6Eh
27,8e29e764-dc43-4464-8698-7ab5cd29ca07,https://open.spotify.com/track/1UNEuG9DYOWiikf00ayr52,0.293,0.786,0.741,0.0,0.0,0.132,-6.147,1.0,0.0309,113.98,0.816,1UNEuG9DYOWiikf00ayr52
28,3bb5284d-8bdc-4665-ba83-6dec497979a7,https://open.spotify.com/track/2sgBTNHz9ckmqj3rx3ez4M,0.00768,0.447,0.937,1.33e-05,5.0,0.0787,-2.811,0.0,0.0492,93.452,0.431,2sgBTNHz9ckmqj3rx3ez4M
29,46cc4b67-7a84-4227-a159-8ca22de207f4,https://open.spotify.com/track/6bfV3ioO3qChqKVGMPhOjV,0.0278,0.67,0.991,0.0,1.0,0.346,-3.1,0.0,0.0578,127.0,0.797,6bfV3ioO3qChqKVGMPhOjV
30,7f93e4f5-e03b-4e0e-8b09-d70230bcc2a5,https://open.spotify.com/track/6gBjUipB0ZxHd1BvwdJTDQ,0.00761,0.474,0.91,0.000534,6.0,0.117,-4.408,1.0,0.0662,161.014,0.65,6gBjUipB0ZxHd1BvwdJTDQ
31,c1a2e268-2d20-4131-af89-8ad116ea1e32,https://open.spotify.com/track/28jHD8xBLnN8esbroQ6zz8,0.102,0.78,0.723,0.0,11.0,0.162,-5.564,0.0,0.106,104.974,0.764,28jHD8xBLnN8esbroQ6zz8
32,82b3b3d2-170b-442c-9bb0-433b4baf8079,https://open.spotify.com/track/221eHga9f9Ne4f8D7WVgPT,0.19,0.671,0.697,0.0,11.0,0.393,-3.851,1.0,0.116,119.867,0.848,221eHga9f9Ne4f8D7WVgPT
33,324f63eb-6c62-432a-93c8-99ea4d63efb7,https://open.spotify.com/track/2SsY5k7UWFqgye3PUMG3Oq,0.426,0.31,0.608,0.0,10.0,0.186,-6.225,1.0,0.0328,166.337,0.503,2SsY5k7UWFqgye3PUMG3Oq
34,7f955f0b-2fb5-41bd-8fc7-4df8cc5b5c59,https://open.spotify.com/track/3Cx4yrFaX8CeHwBMReOWXI,0.0771,0.712,0.967,0.0,7.0,0.356,-5.206,1.0,0.047,145.024,0.895,3Cx4yrFaX8CeHwBMReOWXI
35,e414f2f6-8bf6-4a40-b18c-531b32678bf1,https://open.spotify.com/track/5FYRDy9dLVi2uTa8httrVk,0.00301,0.486,0.926,0.0,9.0,0.0473,-3.864,0.0,0.0932,139.985,0.551,5FYRDy9dLVi2uTa8httrVk
36,5a4c3380-ea22-494d-905a-5c5ba40b4e1b,https://open.spotify.com/track/7f7CxGj0kzfwT1SjciL3ft,0.209,0.552,0.883,4.91e-06,10.0,0.0912,-5.61,0.0,0.0355,99.967,0.745,7f7CxGj0kzfwT1SjciL3ft
37,23fb55ef-c5ca-4ce6-bd8e-23012c823e93,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0.199,0.631,0.927,0.119,9.0,0.148,-2.787,0.0,0.0332,123.962,0.465,0azC730Exh71aQlOt9Zj3y
38,97208384-255d-490c-b537-fb98ef628f71,https://open.spotify.com/track/6RKGBcDtgzXx21zUjpeu6F,0.00652,0.613,0.661,0.0,9.0,0.0976,-4.984,1.0,0.0263,110.978,0.509,6RKGBcDtgzXx21zUjpeu6F
39,b640e4fe-3d1a-4f8e-bf11-09a4619c04b8,https://open.spotify.com/track/2pAkvdCFORWTiFJHVjojdC,0.0452,0.618,0.842,0.000216,9.0,0.0737,-4.384,0.0,0.0772,175.989,0.734,2pAkvdCFORWTiFJHVjojdC
40,3d0dd300-993e-4575-b112-d75c9785554c,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb,0.213,0.646,0.823,0.0,2.0,0.322,-4.123,0.0,0.0394,128.035,0.418,7MmG8p0F9N3C4AXdK6o6Eb
41,96dbd45c-4563-451d-adfe-d065733afa75,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,0.0103,0.434,0.897,0.0,0.0,0.612,-4.918,1.0,0.0488,148.708,0.685,2m1hi0nfMR9vdGC8UcrnwU
42,d30df8d8-44bb-49e9-80de-c102dad7a46a,https://open.spotify.com/track/7zzwX70dpGNS4YnfcWqBmE,0.0241,0.487,0.838,0.00158,7.0,0.115,-5.265,1.0,0.0935,150.013,0.188,7zzwX70dpGNS4YnfcWqBmE
43,be8670da-f6d1-4cc0-a045-e34d56fc29c6,https://open.spotify.com/track/2DFi8rwHcVkTTgu7PULhtI,0.0641,0.596,0.897,5.24e-05,10.0,0.0628,-2.94,1.0,0.0462,118.0,0.578,2DFi8rwHcVkTTgu7PULhtI
44,ea168f21-9376-4599-af81-049f1b184c64,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,0.000722,0.56,0.959,0.000221,7.0,0.209,-2.433,1.0,0.102,163.983,0.669,45hOioMDJktr86iKDHC8gr
45,170c5a66-af21-4841-8ea7-4965d77c31fc,https://open.spotify.com/track/5p9XWUdvbUzmPCukOmwoU3,0.225,0.587,0.767,0.0,0.0,0.112,-5.713,1.0,0.0449,100.38,0.664,5p9XWUdvbUzmPCukOmwoU3
46,25db662b-33fa-4dca-acf9-a8d2ff333e8f,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,0.548,6i0V12jOa3mr6uu4WYhUBr
47,ed695486-68d3-467f-bac2-bec3bb04338e,https://open.spotify.com/track/6Rqn2GFlmvmV4w9Ala0I1e,0.863,0.451,0.326,0.0,7.0,0.192,-9.239,0.0,0.0372,81.726,0.55,6Rqn2GFlmvmV4w9Ala0I1e
48,474bba18-4d6c-4cbd-9224-2f9f7b2368e9,https://open.spotify.com/track/1jDJFeK9x3OZboIAHsY9k2,0.355,0.505,0.904,0.118,6.0,0.14,-6.863,1.0,0.179,176.811,0.773,1jDJFeK9x3OZboIAHsY9k2
49,1e75afcf-b8e3-4b88-80f2-3c5834b40bff,https://open.spotify.com/track/4i1yHB5Q9PhtWlWCplG3u5,0.00606,0.559,0.82,0.0,5.0,0.0958,-3.381,1.0,0.0591,126.091,0.428,4i1yHB5Q9PhtWlWCplG3u5
50,c14e2d02-0670-4d49-a957-4fd4aa54970f,https://open.spotify.com/track/6kotXaSQaGYxE62hVpdHWu,0.0955,0.75,0.62,0.0129,7.0,0.0612,-8.72,1.0,0.0257,103.539,0.927,6kotXaSQaGYxE62hVpdHWu
51,eef2b6a5-3e92-460f-8a10-6de970f31a28,https://open.spotify.com/track/2olVm1lHicpveMAo4AUDRB,0.0964,0.768,0.828,2.85e-05,5.0,0.097,-5.109,1.0,0.0313,118.777,0.961,2olVm1lHicpveMAo4AUDRB
52,c5d24f15-36d1-45ed-b03b-51ea25c207a2,https://open.spotify.com/track/5ka2ajep9OAvU5Sgduhiex,0.0265,0.668,0.78,1.63e-06,7.0,0.143,-4.287,0.0,0.053,139.945,0.738,5ka2ajep9OAvU5Sgduhiex
53,944020be-20bf-473e-9b49-daf205050754,https://open.spotify.com/track/6etwirSInfuJrSOlogS6Sh,0.171,0.693,0.729,0.0,0.0,0.07,-2.99,1.0,0.378,117.848,0.521,6etwirSInfuJrSOlogS6Sh
54,654a7685-4c53-48c6-beb1-ab6d6dc0598a,https://open.spotify.com/track/2nGFzvICaeEWjIrBrL2RAx,0.167,0.739,0.511,1.34e-06,9.0,0.133,-7.844,1.0,0.0362,96.038,0.542,2nGFzvICaeEWjIrBrL2RAx
55,e32cccbc-4ca9-4862-b72e-88051789d7d0,https://open.spotify.com/track/5ZndIlfBM43CegOSMwAMc9,0.00182,0.613,0.885,0.000348,3.0,0.105,-4.196,1.0,0.0407,134.929,0.381,5ZndIlfBM43CegOSMwAMc9
56,0f050d92-2ae6-424c-acac-758facc273e4,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,0.0427,0.842,0.734,0.0,1.0,0.106,-5.065,0.0,0.0588,137.958,0.952,22vgEDb5hykfaTwLuskFGD
57,bc9c2904-9aed-43c9-a1d2-811bbe31e252,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,0.652,0.388,0.338,3.73e-06,10.0,0.248,-10.054,1.0,0.0329,177.765,0.478,2RlgNHKcydI9sayD2Df2xp
58,27f14b37-229b-462b-9075-36df114a1594,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,0.00906,0.585,0.828,0.0,1.0,0.0426,-4.603,1.0,0.124,174.034,0.584,49FYlytm3dAAraYgpoJZux
